  i          x            density        pressure        velocity
 202   5.0375938E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 203   5.0626564E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 204   5.0877196E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 205   5.1127821E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 206   5.1378447E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 207   5.1629072E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 208   5.1879698E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 209   5.2130324E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 210   5.2380949E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 211   5.2631581E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 212   5.2882206E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 213   5.3132832E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 214   5.3383458E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 215   5.3634083E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 216   5.3884709E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 217   5.4135340E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 218   5.4385966E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 219   5.4636592E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 220   5.4887217E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 221   5.5137843E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 222   5.5388469E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 223   5.5639100E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 224   5.5889726E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 225   5.6140351E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 226   5.6390977E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 227   5.6641603E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 228   5.6892228E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 229   5.7142860E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 230   5.7393485E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 231   5.7644111E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 232   5.7894737E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 233   5.8145362E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 234   5.8395988E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 235   5.8646613E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 236   5.8897245E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 237   5.9147871E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 238   5.9398496E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 239   5.9649122E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 240   5.9899747E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 241   6.0150373E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 242   6.0401005E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 243   6.0651630E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 244   6.0902256E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 245   6.1152881E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 246   6.1403507E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 247   6.1654133E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 248   6.1904764E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
 249   6.2155390E-01   4.2631939E-01   3.0313015E-01   9.2745250E-01
